Neighborhood,Estimate Total,Facility Count,People per Facility
Allegheny Center,1411,4,352.75
Allegheny West,343,3,114.33333333333333
Allentown,2558,3,852.6666666666666
Banksville,3858,7,551.1428571428571
Bedford Dwellings,1349,6,224.83333333333334
Beechview,8078,6,1346.3333333333333
Beltzhoover,1702,7,243.14285714285714
Bloomfield,8669,6,1444.8333333333333
Bluff,6294,3,2098.0
Bon Air,920,1,920.0
Brighton Heights,7421,14,530.0714285714286
Brookline,13160,19,692.6315789473684
California-Kirkbride,803,1,803.0
Carrick,10122,12,843.5
Central Business District,4060,8,507.5
Central Lawrenceville,4775,3,1591.6666666666667
Central Northside,2892,1,2892.0
Central Oakland,5822,1,5822.0
Chateau,3,3,1.0
Crafton Heights,3964,1,3964.0
Crawford-Roberts,2225,3,741.6666666666666
Duquesne Heights,2522,2,1261.0
East Allegheny,2095,1,2095.0
East Hills,2859,3,953.0
East Liberty,5537,3,1845.6666666666667
Elliott,2491,11,226.45454545454547
Fairywood,1181,1,1181.0
Fineview,1270,1,1270.0
Garfield,3966,4,991.5
Glen Hazel,716,1,716.0
Greenfield,7690,4,1922.5
Hays,405,2,202.5
Hazelwood,4257,14,304.07142857142856
Highland Park,6810,30,227.0
Homewood North,3371,1,3371.0
Homewood South,2276,3,758.6666666666666
Homewood West,850,6,141.66666666666666
Knoxville,4255,4,1063.75
Larimer,1641,1,1641.0
Lincoln Place,3499,5,699.8
Lincoln-Lemington-Belmar,4955,11,450.45454545454544
Lower Lawrenceville,2572,7,367.42857142857144
Manchester,1944,3,648.0
Marshall-Shadeland,6195,3,2065.0
Middle Hill,1760,1,1760.0
Morningside,3262,10,326.2
Mount Washington,8743,7,1249.0
North Oakland,9602,3,3200.6666666666665
Oakwood,1058,3,352.6666666666667
Overbrook,3682,2,1841.0
Perry North,3771,20,188.55
Perry South,3398,3,1132.6666666666667
Point Breeze,5414,8,676.75
Point Breeze North,1732,1,1732.0
Polish Hill,1331,4,332.75
Regent Square,1033,4,258.25
Shadyside,13562,9,1506.888888888889
Sheraden,5684,7,812.0
South Oakland,2921,2,1460.5
South Side Flats,6292,5,1258.4
South Side Slopes,4583,11,416.6363636363636
Spring Hill-City View,2456,6,409.3333333333333
Squirrel Hill North,11336,7,1619.4285714285713
Squirrel Hill South,16042,29,553.1724137931035
Stanton Heights,4761,1,4761.0
Strip District,747,15,49.8
Swisshelm Park,1345,1,1345.0
Terrace Village,2292,3,764.0
Troy Hill,2283,3,761.0
Upper Hill,1884,2,942.0
Upper Lawrenceville,2754,1,2754.0
West End,235,2,117.5
West Oakland,1717,1,1717.0
Westwood,3537,4,884.25
Windgap,1534,3,511.3333333333333
