_id,Neighborhood,Id,Population,Margin of Error; Total,Total Parks,People per Park
77,squirrel hill north,77,11336.0,767.783172516,1.0,11336.0
57,north oakland,57,9602.0,628.11304715,1.0,9602.0
11,bluff,11,6294.0,395.761291689,1.0,6294.0
18,central lawrenceville,18,4775.0,383.429263359,1.0,4775.0
80,stanton heights,80,4761.0,418.092095117,1.0,4761.0
14,brookline,14,13160.0,943.065215136,3.0,4386.666666666667
40,highland park,40,6810.0,870.084478657,2.0,3405.0
16,carrick,16,10122.0,826.666196236,3.0,3374.0
52,morningside,52,3262.0,378.788859392,1.0,3262.0
10,bloomfield,10,8669.0,491.348145412,3.0,2889.6666666666665
28,east hills,28,2859.0,435.754518049,1.0,2859.0
78,squirrel hill south,78,16042.0,889.712313054,6.0,2673.6666666666665
37,greenfield,37,7690.0,699.464795397,3.0,2563.3333333333335
42,homewood south,42,2276.0,320.068742616,1.0,2276.0
23,crafton heights,23,3964.0,384.981817753,2.0,1982.0
6,banksville,6,3858.0,581.107563192,2.0,1929.0
62,perry north,62,3771.0,398.571198156,2.0,1885.5
86,upper hill,86,1884.0,408.074748055,1.0,1884.0
13,brighton heights,13,7421.0,560.572921216,4.0,1855.25
4,arlington,4,1852.0,348.188167518,1.0,1852.0
51,middle hill,51,1760.0,287.125408141,1.0,1760.0
46,lincoln place,46,3499.0,484.242707741,2.0,1749.5
89,west oakland,89,1717.0,285.001754381,1.0,1717.0
63,perry south,63,3398.0,479.242110002,2.0,1699.0
41,homewood north,41,3371.0,470.499734325,2.0,1685.5
47,lincoln-lemington-belmar,47,4955.0,471.055198463,3.0,1651.6666666666667
50,marshall-shadeland,50,6195.0,737.094295189,4.0,1548.75
91,windgap,91,1534.0,367.828764509,1.0,1534.0
54,mount washington,54,8743.0,613.158217756,6.0,1457.1666666666667
20,central oakland,20,5822.0,659.416408653,4.0,1455.5
7,bedford dwellings,7,1349.0,180.0,1.0,1349.0
35,garfield,35,3966.0,397.273205741,3.0,1322.0
3,allentown,3,2558.0,449.773276218,2.0,1279.0
25,duquesne heights,25,2522.0,350.750623663,2.0,1261.0
32,fairywood,32,1181.0,238.0,1.0,1181.0
90,westwood,90,3537.0,407.982842777,3.0,1179.0
84,terrace village,84,2292.0,264.463608083,2.0,1146.0
60,oakwood,60,1058.0,147.0,1.0,1058.0
73,south side flats,73,6292.0,747.59213479,6.0,1048.6666666666667
67,regent square,67,1033.0,101.0,1.0,1033.0
8,beechview,8,8078.0,719.658252228,8.0,1009.75
56,new homestead,56,973.0,105.0,1.0,973.0
19,central northside,19,2892.0,345.741232716,3.0,964.0
70,sheraden,70,5684.0,740.850862185,6.0,947.3333333333334
12,bon air,12,920.0,171.0,1.0,920.0
87,upper lawrenceville,87,2754.0,435.70861823,3.0,918.0
48,lower lawrenceville,48,2572.0,389.97948664,3.0,857.3333333333334
43,homewood west,43,850.0,229.139695383,1.0,850.0
76,spring hill-city view,76,2456.0,423.935136548,3.0,818.6666666666666
64,point breeze,64,5414.0,333.9550868,7.0,773.4285714285714
24,crawford-roberts,24,2225.0,329.528450972,3.0,741.6666666666666
39,hazelwood,39,4257.0,666.937028512,6.0,709.5
1,allegheny center,1,1411.0,196.0,2.0,705.5
66,polish hill,66,1331.0,174.315805365,2.0,665.5
74,south side slopes,74,4583.0,516.263498613,7.0,654.7142857142857
49,manchester,49,1944.0,257.099202644,3.0,648.0
33,fineview,33,1270.0,285.217460896,2.0,635.0
30,elliott,30,2491.0,405.687071522,4.0,622.75
27,east carnegie,27,610.0,120.0,1.0,610.0
71,south oakland,71,2921.0,513.468596898,5.0,584.2
65,point breeze north,65,1732.0,261.024903026,3.0,577.3333333333334
9,beltzhoover,9,1702.0,343.072878555,3.0,567.3333333333334
45,larimer,45,1641.0,322.952008819,3.0,547.0
29,east liberty,29,5537.0,612.871112062,12.0,461.4166666666667
85,troy hill,85,2283.0,323.167139419,5.0,456.6
83,swisshelm park,83,1345.0,106.0,3.0,448.3333333333333
75,spring garden,75,840.0,151.558569537,2.0,420.0
17,central business district,17,4060.0,458.026200123,10.0,406.0
38,hays,38,405.0,109.0,1.0,405.0
81,strip district,81,747.0,94.0,2.0,373.5
31,esplen,31,309.0,118.0,1.0,309.0
88,west end,88,235.0,138.0,2.0,117.5
58,north shore,58,205.0,66.7532770731,3.0,68.33333333333333
